,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,TARGET_XF
8253,-0.7054253122832583,-0.3214660853307718,-0.25525416013212854,-0.5062429864268062,1,0.07258330088070969,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,4.741641337,2.1884498480000003,0.507265455,0.7419778470990843,0.7419778350368424,-1.0993661520371172,0.0,-0.20274489638876494,1,1,0.5186323846474676,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8255,0.15449646770580244,0.49850076883472044,-0.25525416013212854,1.0553219178589575,0,0.2542788963008102,2.666666667,0.014278648595375922,0.666666667,2.2563031300202923,1,2.411963338,1.3989387359999998,0.626371101,0.5954891874138237,0.5954891757444533,-1.0993661520371172,0.0,-0.20274489638876494,0,1,0.29740955064721825,1,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8257,-0.44755192764039725,1.136252766518992,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.002087683,0.36137551,-0.576420090068261,-0.5764200999130596,0.08411257807532314,0.5,-0.20274489638876494,1,2,-2.1360416233555255,0,0,0,0,0,0,1,0,0,0,0,0.0,0,1
8259,-0.7308688195680206,1.2273601947596025,1.5856976062884378,-1.2870254385696882,1,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.01845958,0.326453843,0.5222448575711934,0.5222448458785255,-1.0993661520371172,0.0,1.0451553868329508,0,2,2.5096378906497123,0,0,1,0,0,1,0,1,0,0,0,0.0,1,1
8260,-0.7552808333142115,-0.9592180830150435,-0.25525416013212854,-0.5062429864268062,1,-0.45598570397776456,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.933333333,1.0,0.14840039,0.668733517256454,0.6687335051709147,1.2675913081877634,1.0,-0.20274489638876494,1,1,-0.36625895135353,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8262,-0.4571792006670641,0.22517848411288968,-0.25525416013212854,-0.5062429864268062,0,-0.5303157202859875,1.0,-0.5062429864268062,1.0,0.018278134323173975,1,0.211237854,1.858893114,0.482684429,0.9617108366269752,0.9617108241951595,0.08411257807532314,0.5,-0.20274489638876494,1,0,1.4035237206484654,1,0,0,0,0,1,0,1,0,0,0,0.0,1,1
8263,0.4525981003529499,-0.5947883700526025,-2.096205926552695,1.0553219178589575,1,0.50204561732822,3.333333333,-0.5062429864268062,0.305555556,2.2563031300202923,1,2.59325753,3.9497307,0.5394995029999999,2.2068644439516905,2.2068644292791335,0.08411257807532314,0.5,-1.4506451796104807,1,2,-2.1360416233555255,1,0,0,0,0,0,0,1,0,0,0,0.0,1,1
8266,1.7949150252139228,-0.3214660853307718,-0.25525416013212854,3.3976692742876033,0,1.889539255081715,5.0,0.9251915089082166,0.544444444,5.6133406235659695,4,3.341931143,3.039138724,0.471428678,1.3279324858401267,1.3279324726458657,-1.0993661520371172,0.0,-0.20274489638876494,1,2,0.29740955064721825,0,0,0,0,1,0,0,0,0,0,1,0.0,1,1
8267,-0.7435905732104018,0.8629304817971614,-0.25525416013212854,1.0553219178589575,0,-0.4426533767192796,3.0,1.0553219178589575,1.0,2.2563031300202923,3,1.017881356,0.847457627,0.383376469,-0.2834427706977399,-0.283442780888815,-1.0993661520371172,0.0,2.2930556700546667,1,1,-1.472373121354777,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8269,2.3391997824001214,2.4117567618875357,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,1.666666667,0.219190368,0.15602320835804193,0.1560233437699898,-1.0993661520371172,0.0,-0.20274489638876494,1,2,2.0671922226492137,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1
